paper,title,conference,year
https://dblp.org/rec/conf/aaai/TsamouraGK20,Beyond the Grounding Bottleneck: Datalog Techniques for Inference in Probabilistic Logic Programs.,AAAI,2020
https://dblp.org/rec/conf/aaai/SrinivasanFG20,BOWL: Bayesian Optimization for Weight Learning in Probabilistic Soft Logic.,AAAI,2020
https://dblp.org/rec/conf/aaai/LyuYLY19,Logic-Based Sequential Decision-Making.,AAAI,2019
https://dblp.org/rec/conf/aaai/CeruttiKKS19,Probabilistic Logic Programming with Beta-Distributed Random Variables.,AAAI,2019
https://dblp.org/rec/conf/aaai/ChakrabortyDBGC19,Expert Guided Rule Based Prioritization of Scientifically Relevant Images for Downlinking over Limited Bandwidth from Planetary Orbiters.,AAAI,2019
https://dblp.org/rec/conf/ijcai/NguyenR19,A Probabilistic Logic for Resource-Bounded Multi-Agent Systems.,IJCAI,2019
https://dblp.org/rec/conf/nips/Qu019,Probabilistic Logic Neural Networks for Reasoning.,NeurIPS,2019
https://dblp.org/rec/conf/icml/YoungBN19,Learning Neurosymbolic Generative Models via Program Synthesis.,ICML,2019
https://dblp.org/rec/conf/nips/HanMGT019,Visual Concept-Metaconcept Learning.,NeurIPS,2019
https://dblp.org/rec/conf/ijcai/Svatos19,Cautious Rule-Based Collective Inference.,IJCAI,2019
https://dblp.org/rec/conf/iclr/MaoGKTW19,"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision.",ICLR,2019
https://dblp.org/rec/conf/aaai/Juba19,Polynomial-Time Probabilistic Reasoning with Partial Observations via Implicit Learning in Probability Logics.,AAAI,2019
https://dblp.org/rec/conf/aaai/BockhorstCF19,Probabilistic-Logic Bots for Efficient Evaluation of Business Rules Using Conversational Interfaces.,AAAI,2019
https://dblp.org/rec/conf/ijcai/Wachi19,Failure-Scenario Maker for Rule-Based Agent using Multi-agent Adversarial Reinforcement Learning and its Application to Autonomous Driving.,IJCAI,2019
https://dblp.org/rec/conf/emnlp/WangP18,Deep Probabilistic Logic: A Unifying Framework for Indirect Supervision.,EMNLP,2018
https://dblp.org/rec/conf/ijcai/LaurentYF18,Counterfactual Resimulation for Causal Analysis of Rule-Based Models.,IJCAI,2018
https://dblp.org/rec/conf/nips/ManhaeveDKDR18,DeepProbLog: Neural Probabilistic Logic Programming.,NeurIPS,2018
https://dblp.org/rec/conf/cvpr/BouritsasKZM18,Multimodal Visual Concept Learning With Weakly Supervised Techniques.,CVPR,2018
https://dblp.org/rec/conf/ijcai/XuGZNWW18,Deep Multi-View Concept Learning.,IJCAI,2018
https://dblp.org/rec/conf/acl/XuYZ18,Interactive Language Acquisition with One-shot Visual Concept Learning through a Conversational Game.,ACL (1),2018
https://dblp.org/rec/conf/emnlp/SrivastavaLM17,Joint Concept Learning and Semantic Parsing from Natural Language Explanations.,EMNLP,2017
https://dblp.org/rec/conf/aaai/DaviesGS17,Automatic Logic-Based Benders Decomposition with MiniZinc.,AAAI,2017
https://dblp.org/rec/conf/aaai/Harrison-Trainor17,Preferential Structures for Comparative Probabilistic Reasoning.,AAAI,2017
https://dblp.org/rec/journals/jmlr/BachBHG17,Hinge-Loss Markov Random Fields and Probabilistic Soft Logic.,J. Mach. Learn. Res.,2017
https://dblp.org/rec/conf/aaai/WangLK17a,A Logic Based Approach to Answering Questions about Alternatives in DIY Domains.,AAAI,2017
https://dblp.org/rec/conf/ijcai/Shalaginov17,"Fuzzy Logic Model for Digital Forensics: A Trade-off between Accuracy, Complexity and Interpretability.",IJCAI,2017
